sample_id,region_id,pixel_count,pair_cosine,cluster_with,cluster_no
119fb420f7574100b8407f21475cfff3,1,999,-0.07613530,6,6
11d08474b2544d969d832d3d370c3db1,0,21905,-0.02378091,1,6
11d08474b2544d969d832d3d370c3db1,1,595,-0.00015007,5,6
1220f9a205ae44418fcce91722e1e601,0,22196,-0.01213954,1,6
1220f9a205ae44418fcce91722e1e601,1,304,0.00299899,7,6
1223445bb2b14ecda09c2b8149e0ec77,0,21556,-0.03468602,1,6
1223445bb2b14ecda09c2b8149e0ec77,1,944,-0.04524431,6,6
12404ec129124d9a9bb72860e3c9c02b,0,21763,-0.02298481,1,6
12404ec129124d9a9bb72860e3c9c02b,1,737,0.01778721,5,6
1244ad3ad1dd409c96c5158b529c89ef,0,21981,-0.01890569,1,6
1244ad3ad1dd409c96c5158b529c89ef,1,519,-0.03399756,6,6
127521ab7d884515a12a3b7a0d69e0b9,0,22500,-0.03042453,1,6
12a0035c7d934d259f5fa32eafd7b0e3,0,21686,-0.02419207,1,6
12a0035c7d934d259f5fa32eafd7b0e3,1,814,0.01418282,0,0
12a72195b0a242b3bf7a48c0d82cd219,0,21640,-0.02413381,1,6
12a72195b0a242b3bf7a48c0d82cd219,1,860,0.01076631,0,0
12ef9ffe9eb640078c007b33f0ce8b47,0,22279,-0.02025045,1,6
12ef9ffe9eb640078c007b33f0ce8b47,1,221,0.05033069,0,0
13350a2c46de430f9b20264cfb1bd3d1,0,21273,-0.02118902,1,6
13350a2c46de430f9b20264cfb1bd3d1,1,1227,-0.05670363,6,6
1339ac69572144179cb5734dc86fa60c,0,20660,-0.02684366,1,6
1339ac69572144179cb5734dc86fa60c,1,1840,0.03191424,6,6
134627f07b8b47f196af46f88013d112,0,21681,-0.03234177,1,6
134627f07b8b47f196af46f88013d112,1,819,-0.03535156,6,6
135678a185474ee2984f0b6b9eb31d54,0,18941,-0.06701407,1,6
135678a185474ee2984f0b6b9eb31d54,1,3559,-0.07829978,4,5
13ade121714c46d6a028516ecb5bff60,0,22142,-0.00806524,1,6
13ade121714c46d6a028516ecb5bff60,1,358,0.02582621,0,5
13af3da0edf14bfb8fa9d62fb654b455,0,21505,-0.01408258,1,5
13af3da0edf14bfb8fa9d62fb654b455,1,995,0.04599700,0,0
13b194dc4afc49898db6ca0c7ae763be,0,21470,-0.00789616,1,6
13b194dc4afc49898db6ca0c7ae763be,1,1030,0.00595647,0,6
1430ffe6d28440239c2caebb6603a3b8,0,20148,-0.03811920,1,6
1430ffe6d28440239c2caebb6603a3b8,1,2352,0.02189317,4,6
14384b3ce9d243ce827bf0c1598dd35f,0,21140,0.02864835,1,5
14384b3ce9d243ce827bf0c1598dd35f,1,1360,0.07264166,4,5
144689dc04d74506a875106f2ff76d9e,0,21150,-0.04209113,1,5
144689dc04d74506a875106f2ff76d9e,1,1350,0.01448848,5,6
1477ef1a6a3b42daa70ac218e6f6c6f9,0,22036,-0.03955696,1,5
1477ef1a6a3b42daa70ac218e6f6c6f9,1,464,-0.02671887,6,6
148acc8b5751400c84ae272a96bf2bf7,0,21427,-0.05654463,1,6
148acc8b5751400c84ae272a96bf2bf7,1,1073,-0.06323161,0,0
